source_column,harmonized_name,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed
ASSETS,assets,,,,,2,"1992, 1999",1992,1999,501C3-PRIVFOUND
EOY,eoy,,,,,2,"2008, 2010",2008,2010,501C3-PRIVFOUND
FILER,filer,990 filing w/n 2 years? (Y/N),Filed 990 return within 24 months of BMF file? (Y/N),Basic Info,Character,2,"1992, 1996",1992,1996,501C3-PRIVFOUND
INCOME,income,,,,,2,"1992, 1999",1992,1999,501C3-PRIVFOUND
NteeCC4d,nteecc4d,,,,,2,2005-2006,2005,2006,501C3-PRIVFOUND
NteeOldB,nteeoldb,,,,,2,2005-2006,2005,2006,501C3-PRIVFOUND
ACTIVITY,activity,,,,,1,1992,1992,1992,501C3-PRIVFOUND
AFCODE,afcode,,,,,1,1992,1992,1992,501C3-PRIVFOUND
ASSET,asset,,,,,1,1992,1992,1992,501C3-PRIVFOUND
CALC4940,calc4940,,,,,1,2002,2002,2002,501C3-PRIVFOUND
CONVTOCO,convtoco,,,,,1,1999,1999,1999,501C3-PRIVFOUND
ENDDATE,enddate,,,,,1,1999,1999,1999,501C3-PRIVFOUND
FNDN,fndn,,,,,1,1992,1992,1992,501C3-PRIVFOUND
FRC,frc,,,,,1,1992,1992,1992,501C3-PRIVFOUND
FipsOldA,fipsolda,,,,,1,2004,2004,2004,501C3-PRIVFOUND
INC_BMF,inc_bmf,,,,,1,1992,1992,1992,501C3-PRIVFOUND
KeyID,keyid,,,,,1,2011,2011,2011,501C3-PRIVFOUND
LATITUDE,latitude,,,,,1,2011,2011,2011,501C3-PRIVFOUND
LONGITUDE,longitude,,,,,1,2011,2011,2011,501C3-PRIVFOUND
NAICS,naics,North American Industrial Clas,North American Industrial Classification System,Main Table:  Basic Organization Classifications,Character,1,2011,2011,2011,501C3-PRIVFOUND
NEGINCOM,negincom,,,,,1,1999,1999,1999,501C3-PRIVFOUND
ORGCODE,orgcode,,,,,1,1992,1992,1992,501C3-PRIVFOUND
PF112,pf112,PF112,PF112,Other Classification,Numeric,1,1999,1999,1999,501C3-PRIVFOUND
PF23,pf23,,,,,1,1991,1991,1991,501C3-PRIVFOUND
PF24,pf24,,,,,1,1991,1991,1991,501C3-PRIVFOUND
PF25,pf25,,,,,1,1991,1991,1991,501C3-PRIVFOUND
POPCODE,popcode,,,,,1,1992,1992,1992,501C3-PRIVFOUND
Q78A,q78a,"Unrel. bus. income $1,000+?","Unrelated business income of $1,000 or more?, Line 78a",Other Descriptive Info,Character,1,1992,1992,1992,501C3-PRIVFOUND
REASON,reason,Reason why org. not PF,"Reason why org. not private foundation (Sched. A, Pt.IV)",Other Descriptive Info,Character,1,1992,1992,1992,501C3-PRIVFOUND
STATESRC,statesrc,,,,,1,1992,1992,1992,501C3-PRIVFOUND
SUBSEC,subsec,,,,,1,1992,1992,1992,501C3-PRIVFOUND
SUBSEC2,subsec2,Subsection code,"IRS subsection code (03=501(c)(3), etc.)",Classification,Character,1,1999,1999,1999,501C3-PRIVFOUND
TAXPERbad,taxperbad,,,,,1,1992,1992,1992,501C3-PRIVFOUND
V1P10MIR,v1p10mir,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14NAD,v1p14nad,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14T49,v1p14t49,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TAS,v1p14tas,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TEN,v1p14ten,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TGI,v1p14tgi,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TNA,v1p14tna,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TPS,v1p14tps,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TQD,v1p14tqd,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P14TTS,v1p14tts,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P1EXCR,v1p1excr,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P1NADI,v1p1nadi,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P1NETI,v1p1neti,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P1TOTE,v1p1tote,,,,,1,2002,2002,2002,501C3-PRIVFOUND
V1P1TOTR,v1p1totr,,,,,1,2002,2002,2002,501C3-PRIVFOUND
