source_var,harmonized_name,description,location,years_present,source
EIN,ein,Employer Identification Number,Form 990-EZ Header,2013-2024,from_990
actvtynotprevrptcd,significant_new_activity_cd,Activity not previously reported?,990-EZ_Pt V-33,2013-2024,ez_only
basisalesexpnsothr,cost_basis_other_assets,Cost or other basis and sales expenses,990-EZ_Pt I-5b,2012-2024,ez_only
chngsinorgcd,changes_to_governing_docs_cd,Significant changes to governing docs?,990-EZ_Pt V-34,2013-2024,ez_only
contractioncd,liquidated_terminated_cd,"Liquidation, dissolution, termination, or contraction",990-EZ_Pt V-36,2013-2024,ez_only
costgoodsold,cost_of_goods_sold,Less: cost of goods sold,990-EZ_Pt I-7b,2012-2024,ez_only
direxpns,gaming_fundraising_direct_expenses,Special events direct expenses,990-EZ_Pt I-6c,2012-2024,ez_only
duesassesmnts,membership_dues_assessments,Membership dues and assessments,990-EZ_Pt I-3,2012-2024,ez_only
efile,efile_indicator,E-file indicator,n/a,2021-2024,from_990
e-file,efile_indicator,E-file indicator,n/a,2020,from_990
ein,ein,Employer Identification Number,990-EZ Header,2012,from_990
elf,efile_indicator,E-file indicator,n/a,2015-2019,from_990
excds1pct509,excess_over_1pct_sec509,Amount support exceeds total (509),990-EZ Sch A_Pt III-7b(f),2017-2024,ez_only
excds2pct170,excess_over_2pct_sec170,Amount support exceeds total (170),990-EZ Sch A_Pt II-5(f),2017-2024,ez_only
exceeds1pct509,excess_over_1pct_sec509,Amount support exceeds total (509),990-EZ Sch A_Pt III-7b(f),2013-2016,from_990
exceeds2pct170,excess_over_2pct_sec170,Amount support exceeds total (170),990-EZ Sch A_Pt II-5(f),2013-2016,from_990
filedf1120polcd,filed_form_1120pol_cd,File Form 1120-POL?,990-EZ_Pt V-37b,2013-2024,ez_only
filedf990tcd,filed_form_990t_cd,Organization Filed 990T,990-EZ_Pt V-35b,2013-2024,from_990
gftgrntrcvd170,gifts_grants_received_sec170,Gifts grants membership fees received (170),990-EZ Sch A_Pt II-1(f),"2012, 2017-2024",ez_only
gftgrntsrcvd170,gifts_grants_received_sec170,Gifts grants membership fees received (170),990-EZ Sch A_Pt II-1(f),2013-2016,from_990
gnsaleofastothr,gain_loss_sales_other_assets,Gain or (loss) from sale of assets,990-EZ_Pt I-5c,2012-2024,ez_only
grsalesminusret,gross_sales_inventory_less_returns,Gross sales of inventory,990-EZ_Pt I-7a,2012-2024,ez_only
grsamtsalesastothr,gross_sales_other_assets,Gross amount from sale of assets,990-EZ_Pt I-5a,2012-2024,ez_only
grsinc170,gross_income_interest_sec170,Gross income from interest etc (170),990-EZ Sch A_Pt II-8(f),2012-2024,from_990
grsinc509,gross_income_interest_sec509,Gross income from interest etc (509),990-EZ Sch A_Pt III-10a(f),2013-2024,from_990
grsincgaming,gross_income_gaming_activities,Gross income from gaming,990-EZ_Pt I-6a,2012-2024,from_990
grsprft,gross_profit_inventory_sales,Gross profit (or loss) from sales of inventory,990-EZ_Pt I-7c,2012-2024,ez_only
